timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699312492671,160,POST,200,OK,Write 2-25,text,true,,440,357,75,83,http://localhost:3333/gols,158,0,46
1699312492664,167,POST,200,OK,Write 2-13,text,true,,440,357,75,83,http://localhost:3333/gols,160,0,51
1699312492664,167,POST,200,OK,Write 2-22,text,true,,440,357,75,83,http://localhost:3333/gols,160,0,52
1699312492669,169,POST,200,OK,Write 2-60,text,true,,440,357,75,84,http://localhost:3333/gols,169,0,48
1699312492678,172,POST,200,OK,Write 2-65,text,true,,440,357,71,80,http://localhost:3333/gols,171,0,39
1699312492669,188,POST,200,OK,Write 2-27,text,true,,440,357,70,79,http://localhost:3333/gols,188,0,48
1699312492664,199,POST,200,OK,Write 2-56,text,true,,440,357,69,78,http://localhost:3333/gols,199,0,54
1699312492664,207,POST,200,OK,Write 2-34,text,true,,440,357,68,77,http://localhost:3333/gols,207,0,54
1699312492664,217,POST,200,OK,Write 2-68,text,true,,440,357,67,77,http://localhost:3333/gols,216,0,54
1699312492671,216,POST,200,OK,Write 2-31,text,true,,440,357,66,76,http://localhost:3333/gols,216,0,47
1699312492678,216,POST,200,OK,Write 2-59,text,true,,440,357,65,75,http://localhost:3333/gols,216,0,40
1699312492664,239,POST,200,OK,Write 2-10,text,true,,440,357,64,74,http://localhost:3333/gols,239,0,54
1699312492678,234,POST,200,OK,Write 2-17,text,true,,440,357,63,73,http://localhost:3333/gols,234,0,40
1699312492669,250,POST,200,OK,Write 2-49,text,true,,440,357,62,73,http://localhost:3333/gols,250,0,49
1699312492669,258,POST,200,OK,Write 2-30,text,true,,440,357,61,72,http://localhost:3333/gols,258,0,49
1699312492665,431,GET,200,OK,Read 1-3,text,true,,548915,126,15,75,http://localhost:3333/gols,429,0,54
1699312492669,436,POST,200,OK,Write 2-20,text,true,,440,357,60,74,http://localhost:3333/gols,436,0,49
1699312492678,439,POST,200,OK,Write 2-46,text,true,,440,357,59,74,http://localhost:3333/gols,439,0,40
1699312492679,568,GET,200,OK,Read 1-1,text,true,,549439,126,18,76,http://localhost:3333/gols,567,0,39
1699312492664,593,POST,200,OK,Write 2-45,text,true,,440,357,58,75,http://localhost:3333/gols,593,0,54
