timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699311972581,188,POST,200,OK,Write 2-64,text,true,,440,357,75,84,http://localhost:3333/gols,175,0,46
1699311972570,199,POST,200,OK,Write 2-69,text,true,,440,357,75,84,http://localhost:3333/gols,191,0,57
1699311972570,199,POST,200,OK,Write 2-42,text,true,,440,357,75,84,http://localhost:3333/gols,186,0,57
1699311972570,200,POST,200,OK,Write 2-29,text,true,,440,357,75,84,http://localhost:3333/gols,200,0,57
1699311972570,210,POST,200,OK,Write 2-45,text,true,,440,357,71,80,http://localhost:3333/gols,210,0,57
1699311972570,220,POST,200,OK,Write 2-57,text,true,,440,357,70,80,http://localhost:3333/gols,220,0,57
1699311972574,224,POST,200,OK,Write 2-71,text,true,,440,357,69,79,http://localhost:3333/gols,224,0,53
1699311972570,238,POST,200,OK,Write 2-14,text,true,,440,357,68,78,http://localhost:3333/gols,238,0,58
1699311972570,246,POST,200,OK,Write 2-32,text,true,,440,357,67,77,http://localhost:3333/gols,246,0,58
1699311972574,252,POST,200,OK,Write 2-63,text,true,,440,357,66,77,http://localhost:3333/gols,252,0,54
1699311972571,264,POST,200,OK,Write 2-65,text,true,,440,357,65,76,http://localhost:3333/gols,263,0,57
1699311972582,263,POST,200,OK,Write 2-72,text,true,,440,357,64,75,http://localhost:3333/gols,263,0,46
1699311972571,283,POST,200,OK,Write 2-52,text,true,,440,357,63,74,http://localhost:3333/gols,282,0,57
1699311972571,289,POST,200,OK,Write 2-38,text,true,,440,357,62,73,http://localhost:3333/gols,289,0,57
1699311972581,290,POST,200,OK,Write 2-67,text,true,,440,357,61,73,http://localhost:3333/gols,290,0,47
1699311972583,295,POST,200,OK,Write 2-11,text,true,,440,357,60,72,http://localhost:3333/gols,295,0,46
1699311972570,316,POST,200,OK,Write 2-4,text,true,,440,357,59,71,http://localhost:3333/gols,316,0,58
1699311972574,319,POST,200,OK,Write 2-50,text,true,,440,357,58,70,http://localhost:3333/gols,319,0,52
1699311972570,333,POST,200,OK,Write 2-7,text,true,,440,357,57,69,http://localhost:3333/gols,332,0,56
1699311972574,716,POST,200,OK,Write 2-6,text,true,,440,357,56,78,http://localhost:3333/gols,716,0,53
1699311972582,714,GET,200,OK,Read 1-1,text,true,,1454475,126,22,77,http://localhost:3333/gols,698,0,45
1699311972571,728,POST,200,OK,Write 2-68,text,true,,440,357,55,77,http://localhost:3333/gols,728,0,56
1699311972575,1037,POST,200,OK,Write 2-1,text,true,,440,357,54,78,http://localhost:3333/gols,1037,0,52
1699311972582,1039,POST,200,OK,Write 2-2,text,true,,440,357,53,77,http://localhost:3333/gols,1039,0,45
1699311972592,1033,GET,200,OK,Read 1-5,text,true,,1454999,126,24,76,http://localhost:3333/gols,995,0,36
1699311972570,1058,POST,200,OK,Write 2-48,text,true,,440,357,52,75,http://localhost:3333/gols,1058,0,57
1699311972570,1068,POST,200,OK,Write 2-22,text,true,,440,357,51,74,http://localhost:3333/gols,1068,0,57
1699311972582,1065,POST,200,OK,Write 2-35,text,true,,440,357,50,73,http://localhost:3333/gols,1065,0,45
1699311972575,1079,POST,200,OK,Write 2-21,text,true,,440,357,49,72,http://localhost:3333/gols,1079,0,51
1699311972574,1087,POST,200,OK,Write 2-12,text,true,,440,357,48,71,http://localhost:3333/gols,1087,0,52
1699311972570,1100,POST,200,OK,Write 2-33,text,true,,440,357,47,70,http://localhost:3333/gols,1100,0,56
1699311972575,1102,POST,200,OK,Write 2-10,text,true,,440,357,46,69,http://localhost:3333/gols,1102,0,51
1699311972570,1114,POST,200,OK,Write 2-36,text,true,,440,357,45,68,http://localhost:3333/gols,1114,0,56
1699311972570,1120,POST,200,OK,Write 2-74,text,true,,440,357,44,67,http://localhost:3333/gols,1120,0,56
1699311972570,1130,POST,200,OK,Write 2-20,text,true,,440,357,43,66,http://localhost:3333/gols,1130,0,56
1699311972574,1134,POST,200,OK,Write 2-56,text,true,,440,357,42,65,http://localhost:3333/gols,1134,0,55
1699311972582,1133,POST,200,OK,Write 2-54,text,true,,440,357,41,64,http://localhost:3333/gols,1133,0,47
1699311972574,1148,POST,200,OK,Write 2-51,text,true,,440,357,40,63,http://localhost:3333/gols,1148,0,55
1699311972570,1161,POST,200,OK,Write 2-62,text,true,,440,357,39,62,http://localhost:3333/gols,1161,0,59
1699311972574,1165,POST,200,OK,Write 2-40,text,true,,440,357,38,61,http://localhost:3333/gols,1165,0,55
1699311972575,1170,POST,200,OK,Write 2-70,text,true,,440,357,37,60,http://localhost:3333/gols,1170,0,54
1699311972582,1171,POST,200,OK,Write 2-60,text,true,,440,357,36,59,http://localhost:3333/gols,1170,0,47
1699311972571,1191,POST,200,OK,Write 2-30,text,true,,440,357,35,58,http://localhost:3333/gols,1191,0,58
1699311972574,1195,POST,200,OK,Write 2-13,text,true,,440,357,34,57,http://localhost:3333/gols,1195,0,55
1699311972570,1524,POST,200,OK,Write 2-24,text,true,,440,357,33,56,http://localhost:3333/gols,1523,0,59
1699311972570,1533,POST,200,OK,Write 2-59,text,true,,440,357,32,55,http://localhost:3333/gols,1533,0,59
1699311972578,1533,GET,200,OK,Read 1-3,text,true,,1460501,126,23,54,http://localhost:3333/gols,1509,0,52
1699311972581,1530,POST,200,OK,Write 2-27,text,true,,440,357,31,53,http://localhost:3333/gols,1530,0,49
