date,home_team,away_team,team,scorer,minute,own_goal,penalty
2017-01-14,Burkina Faso,Cameroon,Cameroon,Benjamin Moukandjo,35,FALSE,FALSE
2017-01-14,Burkina Faso,Cameroon,Burkina Faso,Issoufou Dayo,75,FALSE,FALSE
2017-01-14,Gabon,Guinea-Bissau,Gabon,Pierre-Emerick Aubameyang,52,FALSE,FALSE
2017-01-14,Gabon,Guinea-Bissau,Guinea-Bissau,Juary Soares,90,FALSE,FALSE
2017-01-15,Algeria,Zimbabwe,Algeria,Riyad Mahrez,12,FALSE,FALSE
2017-01-15,Algeria,Zimbabwe,Zimbabwe,Kudakwashe Mahachi,17,FALSE,FALSE
2017-01-15,Algeria,Zimbabwe,Zimbabwe,Nyasha Mushekwi,29,FALSE,TRUE
2017-01-15,Algeria,Zimbabwe,Algeria,Riyad Mahrez,82,FALSE,FALSE
2017-01-15,Tunisia,Senegal,Senegal,Sadio Mané,10,FALSE,TRUE
2017-01-15,Tunisia,Senegal,Senegal,Kara Mbodji,30,FALSE,FALSE
2017-01-16,DR Congo,Morocco,DR Congo,Junior Kabananga,55,FALSE,FALSE
2017-01-17,Ghana,Uganda,Ghana,André Ayew,32,FALSE,TRUE
2017-01-18,Cameroon,Guinea-Bissau,Guinea-Bissau,Piqueti,13,FALSE,FALSE
2017-01-18,Cameroon,Guinea-Bissau,Cameroon,Sébastien Siani,61,FALSE,FALSE
2017-01-18,Cameroon,Guinea-Bissau,Cameroon,Michael Ngadeu-Ngadjui,78,FALSE,FALSE
2017-01-18,Gabon,Burkina Faso,Burkina Faso,Préjuce Nakoulma,23,FALSE,FALSE
2017-01-18,Gabon,Burkina Faso,Gabon,Pierre-Emerick Aubameyang,38,FALSE,TRUE
2017-01-19,Algeria,Tunisia,Tunisia,Aïssa Mandi,50,TRUE,FALSE
2017-01-19,Algeria,Tunisia,Tunisia,Naïm Sliti,66,FALSE,TRUE
2017-01-19,Algeria,Tunisia,Algeria,Sofiane Hanni,90,FALSE,FALSE
2017-01-19,Senegal,Zimbabwe,Senegal,Sadio Mané,9,FALSE,FALSE
2017-01-19,Senegal,Zimbabwe,Senegal,Henri Saivet,13,FALSE,FALSE
2017-01-20,Ivory Coast,DR Congo,DR Congo,Neeskens Kebano,10,FALSE,FALSE
2017-01-20,Ivory Coast,DR Congo,Ivory Coast,Wilfried Bony,25,FALSE,FALSE
2017-01-20,Ivory Coast,DR Congo,DR Congo,Junior Kabananga,28,FALSE,FALSE
