timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699312397406,281,GET,200,OK,Read 1-14,text,true,,544985,126,37,62,http://localhost:3333/gols,272,0,24
1699312397383,308,POST,200,OK,Write 2-15,text,true,,440,357,25,61,http://localhost:3333/gols,307,0,46
1699312397380,323,POST,200,OK,Write 2-11,text,true,,440,357,24,61,http://localhost:3333/gols,322,0,50
1699312397384,326,POST,200,OK,Write 2-13,text,true,,440,357,23,61,http://localhost:3333/gols,326,0,45
1699312397384,471,POST,200,OK,Write 2-16,text,true,,440,357,22,71,http://localhost:3333/gols,471,0,45
1699312397383,481,POST,200,OK,Write 2-18,text,true,,440,357,21,71,http://localhost:3333/gols,481,0,46
1699312397384,484,GET,200,OK,Read 1-9,text,true,,545771,126,50,70,http://localhost:3333/gols,458,0,46
1699312397380,495,POST,200,OK,Write 2-24,text,true,,440,357,20,70,http://localhost:3333/gols,495,0,49
1699312397383,500,POST,200,OK,Write 2-1,text,true,,440,357,19,70,http://localhost:3333/gols,500,0,46
1699312397383,507,POST,200,OK,Write 2-21,text,true,,440,357,18,69,http://localhost:3333/gols,507,0,46
1699312397380,517,POST,200,OK,Write 2-7,text,true,,440,357,17,69,http://localhost:3333/gols,517,0,49
1699312397381,525,POST,200,OK,Write 2-4,text,true,,440,357,16,68,http://localhost:3333/gols,525,0,48
1699312397384,658,GET,200,OK,Read 1-7,text,true,,547605,126,64,79,http://localhost:3333/gols,647,0,46
1699312397383,776,GET,200,OK,Read 1-2,text,true,,547605,126,72,87,http://localhost:3333/gols,772,0,46
1699312397382,793,POST,200,OK,Write 2-17,text,true,,440,357,15,86,http://localhost:3333/gols,793,0,48
1699312397384,805,POST,200,OK,Write 2-8,text,true,,440,357,14,85,http://localhost:3333/gols,805,0,46
1699312397383,816,POST,200,OK,Write 2-3,text,true,,440,357,13,84,http://localhost:3333/gols,816,0,47
1699312397383,955,GET,200,OK,Read 1-11,text,true,,548391,126,71,83,http://localhost:3333/gols,932,0,48
1699312397385,1049,GET,200,OK,Read 1-5,text,true,,548391,126,70,82,http://localhost:3333/gols,1047,0,46
1699312397382,1175,POST,200,OK,Write 2-12,text,true,,440,357,12,81,http://localhost:3333/gols,1175,0,48
