timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1699311725404,130,POST,200,OK,Write 2-17,text,true,,440,357,25,48,http://localhost:3333/gols,125,0,53
1699311725413,544,GET,200,OK,Read 1-5,text,true,,1449759,126,57,81,http://localhost:3333/gols,518,0,45
1699311725412,547,POST,200,OK,Write 2-2,text,true,,440,357,24,80,http://localhost:3333/gols,547,0,45
1699311725397,576,POST,200,OK,Write 2-13,text,true,,440,357,23,80,http://localhost:3333/gols,576,0,60
1699311725412,570,POST,200,OK,Write 2-22,text,true,,440,357,22,80,http://localhost:3333/gols,570,0,46
1699311725412,925,POST,200,OK,Write 2-8,text,true,,440,357,21,95,http://localhost:3333/gols,925,0,46
1699311725397,946,GET,200,OK,Read 1-4,text,true,,1450545,126,74,94,http://localhost:3333/gols,919,0,61
1699311725412,936,POST,200,OK,Write 2-1,text,true,,440,357,20,93,http://localhost:3333/gols,936,0,46
1699311725398,959,POST,200,OK,Write 2-20,text,true,,440,357,19,92,http://localhost:3333/gols,959,0,60
1699311725454,1276,GET,200,OK,Read 1-17,text,true,,1451331,126,73,91,http://localhost:3333/gols,1227,0,4
1699311725401,1585,POST,200,OK,Write 2-14,text,true,,440,357,18,90,http://localhost:3333/gols,1585,0,57
1699311725402,1593,POST,200,OK,Write 2-7,text,true,,440,357,17,89,http://localhost:3333/gols,1593,0,56
1699311725412,1597,GET,200,OK,Read 1-10,text,true,,1451331,126,72,88,http://localhost:3333/gols,1563,0,46
1699311725399,1977,GET,200,OK,Read 1-8,text,true,,1451855,126,71,87,http://localhost:3333/gols,1946,0,58
1699311725412,2348,GET,200,OK,Read 1-3,text,true,,1451855,126,70,86,http://localhost:3333/gols,2318,0,44
1699311725404,2748,POST,200,OK,Write 2-9,text,true,,440,357,16,85,http://localhost:3333/gols,2748,0,52
1699311725402,2755,GET,200,OK,Read 1-9,text,true,,1451855,126,69,84,http://localhost:3333/gols,2717,0,55
1699311725401,2767,POST,200,OK,Write 2-15,text,true,,440,357,15,83,http://localhost:3333/gols,2767,0,55
1699311725397,2782,POST,200,OK,Write 2-23,text,true,,440,357,14,82,http://localhost:3333/gols,2782,0,59
1699311725404,2784,POST,200,OK,Write 2-4,text,true,,440,357,13,81,http://localhost:3333/gols,2784,0,52
1699311725398,2797,POST,200,OK,Write 2-24,text,true,,440,357,12,80,http://localhost:3333/gols,2797,0,58
1699311725402,2803,POST,200,OK,Write 2-12,text,true,,440,357,11,79,http://localhost:3333/gols,2803,0,55
1699311725397,2815,POST,200,OK,Write 2-6,text,true,,440,357,10,78,http://localhost:3333/gols,2815,0,59
1699311725413,2806,POST,200,OK,Write 2-10,text,true,,440,357,9,77,http://localhost:3333/gols,2806,0,44
1699311725412,2815,POST,200,OK,Write 2-19,text,true,,440,357,8,76,http://localhost:3333/gols,2815,0,45
1699311725403,2834,POST,200,OK,Write 2-16,text,true,,440,357,7,75,http://localhost:3333/gols,2834,0,54
1699311725401,3211,POST,200,OK,Write 2-18,text,true,,440,357,6,74,http://localhost:3333/gols,3211,0,56
1699311725410,3209,GET,200,OK,Read 1-13,text,true,,1454475,126,68,73,http://localhost:3333/gols,3186,0,47
1699311725403,3217,POST,200,OK,Write 2-21,text,true,,440,357,5,72,http://localhost:3333/gols,3217,0,54
1699311725405,3614,GET,200,OK,Read 1-7,text,true,,1454999,126,67,71,http://localhost:3333/gols,3568,0,52
1699311725404,3902,POST,200,OK,Write 2-3,text,true,,440,357,4,70,http://localhost:3333/gols,3902,0,52
1699311725412,3935,GET,200,OK,Read 1-2,text,true,,1454999,126,66,69,http://localhost:3333/gols,3882,0,45
1699311725401,4239,POST,200,OK,Write 2-5,text,true,,440,357,3,68,http://localhost:3333/gols,4239,0,56
1699311725405,4242,GET,200,OK,Read 1-6,text,true,,1455261,126,65,67,http://localhost:3333/gols,4222,0,52
1699311725403,4539,POST,200,OK,Write 2-11,text,true,,440,357,2,66,http://localhost:3333/gols,4539,0,54
1699311725397,4549,GET,200,OK,Read 1-12,text,true,,1455523,126,64,65,http://localhost:3333/gols,4530,0,60
1699311725423,4967,GET,200,OK,Read 1-14,text,true,,1455785,126,63,64,http://localhost:3333/gols,4934,0,34
1699311725405,5340,GET,200,OK,Read 1-1,text,true,,1455785,126,62,63,http://localhost:3333/gols,5326,0,52
1699311725432,5654,GET,200,OK,Read 1-15,text,true,,1455785,126,61,62,http://localhost:3333/gols,5614,0,25
1699311725398,5958,GET,200,OK,Read 1-11,text,true,,1455785,126,60,61,http://localhost:3333/gols,5954,0,60
1699311725402,6244,POST,200,OK,Write 2-25,text,true,,440,357,1,60,http://localhost:3333/gols,6244,0,57
1699311725443,6207,GET,200,OK,Read 1-16,text,true,,1455785,126,59,59,http://localhost:3333/gols,6192,0,15
1699311725470,6491,GET,200,OK,Read 1-18,text,true,,1456047,126,58,58,http://localhost:3333/gols,6456,0,1
1699311725481,6743,GET,200,OK,Read 1-19,text,true,,1456047,126,57,57,http://localhost:3333/gols,6737,0,1
1699311725493,7137,GET,200,OK,Read 1-20,text,true,,1456047,126,56,56,http://localhost:3333/gols,7091,0,1
